Year,Gender,Class,Event,Rank,Athlete,School,Mark
2011,Girls,Class 3,High Jump,1,Samara Spencer,Hydel Group of Schools,1.50mq
2011,Girls,Class 3,High Jump,1,Sashane Hanson,Herbert Morrison,1.50mq
2011,Girls,Class 3,High Jump,1,Annastacia Forrester,Manchester High,1.50mq
2011,Girls,Class 3,High Jump,1,Onessa Patten,Edwin Allen High,1.50mq
2011,Girls,Class 3,High Jump,1,Safia Morgan,Immaculate Conception High,1.50mq
2011,Girls,Class 3,High Jump,11,Fiona Barnes,Excelsior High,1.45m
2011,Girls,Class 3,High Jump,--,Ranique Wint,Holy Childhood High,NH
2011,Girls,Class 3,800 Meter Run,1,Genekee Leith,St. Jago High,2:17.30
2011,Girls,Class 3,800 Meter Run,2,Nickesha Reid,Edwin Allen High,2:18.48
2011,Girls,Class 3,800 Meter Run,3,Chantai Smith,St. Elizabeth Technical High,2:19.01
2011,Girls,Class 3,800 Meter Run,4,Dercia Pitters,Edwin Allen High,2:22.43
2011,Girls,Class 3,800 Meter Run,5,Shanice Clarke,Vere Technical High,2:23.58
2011,Girls,Class 3,800 Meter Run,6,Lisa Buchanan,Holmwood Technical High,2:18.75
2011,Girls,Class 3,800 Meter Run,7,Aleitha Mclaughlin,St. Elizabeth Technical High,2:19.55
2011,Girls,Class 3,800 Meter Run,8,Chevel Jackson,Ocho Rios High,2:20.71
2011,Girls,Class 3,800 Meter Run,9,Tamara Leckie,Guys Hill High,2:23.13
2011,Girls,Class 3,800 Meter Run,10,Sashekia Heath,Holmwood Technical High,2:23.84
2011,Girls,Class 3,800 Meter Run,11,Roshae Burrell,St. Jago High,2:21.58
2011,Girls,Class 3,800 Meter Run,12,Tashay Hunter,Donald Quarrie High,2:24.24
2011,Girls,Class 3,800 Meter Run,13,Aquila Brown,Albert Town High,2:24.53
2011,Girls,Class 3,800 Meter Run,14,Shanoya Glanville,Christiana High,2:24.62
2011,Girls,Class 3,800 Meter Run,15,Stacy-Ann Moyston,Albert Town High,2:25.23
2011,Girls,Class 3,800 Meter Run,16,Abbigale Butter,Spanish Town High,2:25.97
2011,Girls,Class 3,800 Meter Run,17,Tavia Dixon,Foga Road High,2:26.54
2011,Girls,Class 3,800 Meter Run,18,Chinnelle Morrison,Excelsior High,2:26.64
2011,Girls,Class 3,800 Meter Run,19,Peta-Gay Cunningham,Manning's High,2:26.82
2011,Girls,Class 3,800 Meter Run,20,Jody-Ann Golding,Bellefield High,2:27.33
2011,Girls,Class 3,800 Meter Run,21,Davina Canaan,Happy Grove High,2:27.03
2011,Girls,Class 3,800 Meter Run,22,Shamona Hunt,Glengoffe High,2:27.12
2011,Girls,Class 3,800 Meter Run,23,Subrena James,Vauxhall High,2:29.16
2011,Girls,Class 3,800 Meter Run,24,Nelecia Richards,Titchfield High School,2:29.20
2011,Girls,Class 3,800 Meter Run,25,Gabrielle Miller,Alpha Academy,2:29.32
2011,Girls,Class 3,800 Meter Run,26,Santina Williams,Holy Childhood High,2:36.61
2011,Girls,Class 3,800 Meter Run,27,Abbygail Blackwood,Decarteret College,2:37.50
2011,Girls,Class 3,800 Meter Run,28,Samantha Morris,Maud McLeod High,2:39.14
2011,Girls,Class 3,800 Meter Run,29,Atasha Reid,Mile Gully High,2:40.65
2011,Girls,Class 3,800 Meter Run,30,Tashna  T Logan,Cross Keys High,2:43.23
2011,Girls,Class 3,800 Meter Run,31,Lisa Hall,Holy Childhood High,2:44.37
2011,Girls,Class 3,800 Meter Run,32,Roshanda Blackwood,Balaclava High,2:44.91
2011,Girls,Class 3,800 Meter Run,33,Jamelia Lovelace,Dinthill Technical High,2:45.47
2011,Girls,Class 3,800 Meter Run,34,Shaion Plummer,Buff Bay High,2:51.42
2011,Girls,Class 3,800 Meter Run,--,Andrea Grant,Glengoffe High,DNS
2011,Boys,Class 3,800 Meter Run,1,Malcolm Campbell,Calabar High School,2:05.52
2011,Boys,Class 3,800 Meter Run,2,Bradley Smith,Kingston College,2:08.34
2011,Boys,Class 3,800 Meter Run,3,Terroan Timothy Edwards,Spaldings High,2:08.96
2011,Boys,Class 3,800 Meter Run,4,Corville Senior,Irwin High,2:10.25
2011,Boys,Class 3,800 Meter Run,5,Dirk Williamson,Jamaica College,2:12.41
2011,Boys,Class 3,800 Meter Run,6,Shavanes Robinson,Titchfield High School,2:07.96
2011,Boys,Class 3,800 Meter Run,7,Kerron Hylton,St. Jago High,2:09.35
2011,Boys,Class 3,800 Meter Run,8,Nakeem Hemmings,Jamaica College,2:10.77
2011,Boys,Class 3,800 Meter Run,9,Paul Tate,Lacovia High,2:10.78
2011,Boys,Class 3,800 Meter Run,10,Sherwayne Allen,Kingston College,2:12.56
2011,Boys,Class 3,800 Meter Run,11,Frater Garland,St. Jago High,2:08.01
2011,Boys,Class 3,800 Meter Run,12,Orville Dixon,Calabar High School,2:09.43
2011,Boys,Class 3,800 Meter Run,13,Ryan Holmes,Edwin Allen High,2:11.65
2011,Boys,Class 3,800 Meter Run,14,Leo Robinson,Holmwood Technical High,2:13.14
2011,Boys,Class 3,800 Meter Run,15,Travis Bailey,Wolmer's,2:16.06
2011,Boys,Class 3,800 Meter Run,16,Bryan Milwood,Wolmer's,2:09.22
2011,Boys,Class 3,800 Meter Run,17,Demoy Farquharson,Knox College,2:10.03
2011,Boys,Class 3,800 Meter Run,18,Tion Gray,Petersfield High,2:11.90
2011,Boys,Class 3,800 Meter Run,19,Daniel Wint,Manchester High,2:13.15
2011,Boys,Class 3,800 Meter Run,20,Oyeth Bailey,Foga Road High,2:17.22
2011,Boys,Class 3,800 Meter Run,21,Lerone Bowden,Holmwood Technical High,2:09.43
2011,Boys,Class 3,800 Meter Run,22,Andre Bennett,Cornwall College,2:11.00
2011,Boys,Class 3,800 Meter Run,23,Hakeem Weir,Campion College,2:13.40
2011,Boys,Class 3,800 Meter Run,24,Gavin Campbell,Ardenne High,2:13.51
2011,Boys,Class 3,800 Meter Run,25,Ackeem Stewart,Happy Grove High,2:13.78
2011,Boys,Class 3,800 Meter Run,26,Kosiani Dunkley,Meadowbrook High,2:16.00
2011,Boys,Class 3,800 Meter Run,27,Denzil Cunningham,Ferncourt High,2:16.24
2011,Boys,Class 3,800 Meter Run,28,Tivan Spencer,Bellefield High,2:16.41
2011,Boys,Class 3,800 Meter Run,29,Kevon Jackson,Charlemont High,2:16.61
2011,Boys,Class 3,800 Meter Run,30,Miguel Garrett,Godfrey Stewart High,2:17.42
2011,Boys,Class 3,800 Meter Run,31,David Towsend,Greater Portmore,2:17.94
2011,Boys,Class 3,800 Meter Run,32,Nicoli Edwards,Bridgeport High,2:17.95
2011,Boys,Class 3,800 Meter Run,33,Daniel Samuels,Central High,2:18.85
2011,Boys,Class 3,800 Meter Run,34,Handel Dennis,Edith Dalton James,2:19.35
2011,Boys,Class 3,800 Meter Run,35,Orlando Graham,Tacius Golding High,2:20.87
2011,Boys,Class 3,800 Meter Run,36,Andre Brown,Muschett High,2:22.44
2011,Boys,Class 3,800 Meter Run,37,Uylett Gray,Jonathan Grant High,2:24.88
2011,Boys,Class 3,800 Meter Run,38,Devar Wellington,Bog Walk High,2:31.74
2011,Boys,Class 3,800 Meter Run,--,Rajiv Lewis,Munro College,DNS
2011,Girls,Class 2,800 Meter Run,1,Simoya Campbell,Spaldings High,2:18.53
2011,Girls,Class 2,800 Meter Run,2,Shevel Mcdonald,St. Jago High,2:18.81
2011,Girls,Class 2,800 Meter Run,3,Marleena Eubanks,Edwin Allen High,2:19.44
2011,Girls,Class 2,800 Meter Run,4,Chrisann Gordon,Holmwood Technical High,2:19.46
2011,Girls,Class 2,800 Meter Run,5,Taska Johnson,Vere Technical High,2:18.87
2011,Girls,Class 2,800 Meter Run,6,Carla Thompson,Edwin Allen High,2:20.10
2011,Girls,Class 2,800 Meter Run,7,Claudette Campbell,Holmwood Technical High,2:20.51
2011,Girls,Class 2,800 Meter Run,8,Titania Markland,St. Mary High,2:20.71
2011,Girls,Class 2,800 Meter Run,9,Danique Derby,Spaldings High,2:19.39
2011,Girls,Class 2,800 Meter Run,10,Monique Mcpherson,Central High,2:21.26
2011,Girls,Class 2,800 Meter Run,11,Shevanice Edwards,Tacius Golding High,2:22.52
2011,Girls,Class 2,800 Meter Run,12,Tasheka Hamilton,Guys Hill High,2:22.66
2011,Girls,Class 2,800 Meter Run,13,Abigail Julye,Alpha Academy,2:19.65
2011,Girls,Class 2,800 Meter Run,14,Candice Higgins,Excelsior High,2:21.19
2011,Girls,Class 2,800 Meter Run,15,Kemo Anderson,Manchester High,2:22.66
2011,Girls,Class 2,800 Meter Run,16,Suezette Layne,Titchfield High School,2:23.72
2011,Girls,Class 2,800 Meter Run,17,Howadeen Williams,Ferncourt High,2:24.51
2011,Girls,Class 2,800 Meter Run,18,Racquel Ricketts,Manchester High,2:25.83
2011,Girls,Class 2,800 Meter Run,19,Kadejah  Allia Lawes,Jose Marti Technical High,2:26.05
2011,Girls,Class 2,800 Meter Run,20,Sashauna Campbell,Tacius Golding High,2:26.35
2011,Girls,Class 2,800 Meter Run,21,Shanice Canningan,Rusea's High,2:27.72
2011,Girls,Class 2,800 Meter Run,22,Kemarlie Taylor,May Day High,2:27.72
2011,Girls,Class 2,800 Meter Run,23,Chevelle Walker,Holy Trinity High,2:41.61
2011,Girls,Class 2,800 Meter Run,24,Kbalifa Banks,Charlemont High,2:48.66
2011,Girls,Class 2,800 Meter Run,25,Sandreika Laird,Lewisville High,2:50.75
2011,Girls,Class 2,800 Meter Run,--,Renee Jones,Gaynstead High School,DNS
2011,Girls,Class 2,800 Meter Run,--,Navika Brown,Claude McKay High,DNS
2011,Girls,Class 2,800 Meter Run,--,Keyandra Henry,St. Jago High,DNS
2011,Girls,Class 2,800 Meter Run,--,Rosheika Lee,Kellits High,DNS
2011,Girls,Class 2,800 Meter Run,--,Sanique Richards,Glengoffe High,DNS
2011,Boys,Class 2,800 Meter Run,29,Romario Foote,May Day High,2:06.77
2011,Boys,Class 2,800 Meter Run,30,Jason Lewis,Munro College,2:06.82
2011,Boys,Class 2,800 Meter Run,31,Devauhn Johnson,Vauxhall High,2:07.02
2011,Boys,Class 2,800 Meter Run,32,Anthony Tomlinson,Maud McLeod High,2:07.56
2011,Boys,Class 2,800 Meter Run,1,Chad Antoine Miller,Kingston College,2:00.85
2011,Boys,Class 2,800 Meter Run,2,Ricordo Mckenzie,Cornwall College,2:01.23
2011,Boys,Class 2,800 Meter Run,3,Kevin Robinson,Foga Road High,2:01.40
2011,Boys,Class 2,800 Meter Run,4,Kadar Bryan,Jamaica College,2:01.44
2011,Boys,Class 2,800 Meter Run,5,Jorel Belfante,Calabar High School,2:02.03
2011,Boys,Class 2,800 Meter Run,6,Norman Pittersgill,Calabar High School,2:07.70
2011,Boys,Class 2,800 Meter Run,7,Romaine Headman,Jamaica College,2:00.88
2011,Boys,Class 2,800 Meter Run,8,Tarik Fullerton,Cornwall College,2:01.71
2011,Boys,Class 2,800 Meter Run,9,Robert Thomas,St. Jago High,2:02.09
2011,Boys,Class 2,800 Meter Run,10,Najaye Stewart,Manchester High,2:02.39
2011,Boys,Class 2,800 Meter Run,11,Miguel Morrision,Kingston College,2:02.49
2011,Boys,Class 2,800 Meter Run,12,Herbert Thomas,Munro College,2:08.08
2011,Boys,Class 2,800 Meter Run,13,Dwayne Pinnock,Wolmer's,2:01.73
2011,Boys,Class 2,800 Meter Run,14,Ricardo Campbell,Camperdown High,2:01.87
2011,Boys,Class 2,800 Meter Run,15,Jevaine Mills,Petersfield High,2:02.71
2011,Boys,Class 2,800 Meter Run,16,Javaun Newman,Spanish Town High,2:02.95
2011,Boys,Class 2,800 Meter Run,17,Rohan Corcho,Foga Road High,2:03.16
2011,Boys,Class 2,800 Meter Run,18,Marvin Blake,Campion College,2:03.78
2011,Boys,Class 2,800 Meter Run,19,Tevin Burton,Holmwood Technical High,2:03.86
2011,Boys,Class 2,800 Meter Run,20,Kehjon Bonnick,St. Jago High,2:03.91
2011,Boys,Class 2,800 Meter Run,21,Anthony Small,St. Mary Technical,2:03.98
2011,Boys,Class 2,800 Meter Run,22,Travis Mitchelle,Old Harbour High,2:03.99
2011,Boys,Class 2,800 Meter Run,23,Aron Gayle,Christiana High,2:04.05
2011,Boys,Class 2,800 Meter Run,24,Rajay Hamilton,Lennon High,2:05.02
2011,Boys,Class 2,800 Meter Run,25,Jerome Peart,Balaclava High,2:05.19
2011,Boys,Class 2,800 Meter Run,26,Nicholas Campbell,Holy Trinity High,2:05.35
2011,Boys,Class 2,800 Meter Run,27,Henry Thomas,Tacius Golding High,2:05.72
2011,Boys,Class 2,800 Meter Run,28,Oshane Griffiths,Seaforth High,2:06.61
2011,Boys,Class 2,800 Meter Run,33,Stephan Bernard,Donald Quarrie High,2:07.64
2011,Boys,Class 2,800 Meter Run,34,Alex Brown,Wolmer's,2:08.34
2011,Boys,Class 2,800 Meter Run,35,Navarro Channez Walker,Spaldings High,2:08.65
2011,Boys,Class 2,800 Meter Run,36,Christopher Woolery,St. James High,2:09.37
2011,Boys,Class 2,800 Meter Run,37,Jaqwan Thomas,Yallahs High,2:10.16
2011,Boys,Class 2,800 Meter Run,38,Aamlie Hylton,Excelsior High,2:11.21
2011,Boys,Class 2,800 Meter Run,39,Adrian Higgins,Ocho Rios High,2:11.33
2011,Boys,Class 2,800 Meter Run,40,Renaldo Graham,Ocho Rios High,2:11.81
2011,Boys,Class 2,800 Meter Run,41,Kemanie Mitchell,Guys Hill High,2:12.65
2011,Boys,Class 2,800 Meter Run,42,Jerrylee Cole,Claude McKay High,2:12.88
2011,Boys,Class 2,800 Meter Run,43,Kimani Russell,Excelsior High,2:14.61
2011,Boys,Class 2,800 Meter Run,44,Fudail Mangroo,Buff Bay High,2:14.88
2011,Boys,Class 2,800 Meter Run,45,Davian Baker,Edith Dalton James,2:36.97
2011,Boys,Class 2,800 Meter Run,--,Sheneal Coward,Guys Hill High,DNS
2011,Boys,Class 2,800 Meter Run,--,Travis Leslie,Glengoffe High,DNS
2011,Boys,Class 2,800 Meter Run,--,Wesley Gaynor,Vere Technical High,DNS
2011,Boys,Class 1,800 Meter Run,1,Kevin White,Holmwood Technical High,1:56.29
2011,Boys,Class 1,800 Meter Run,2,Brian Smith,Clarendon College,1:57.65
2011,Boys,Class 1,800 Meter Run,3,Sanje Pantry,St. Jago High,1:58.19
2011,Boys,Class 1,800 Meter Run,4,Jordane Black,Cornwall College,1:58.52
2011,Boys,Class 1,800 Meter Run,5,Shavon Barnes,Camperdown High,2:00.01
2011,Boys,Class 1,800 Meter Run,6,Rogeek Rochester,Kingston College,2:00.47
2011,Boys,Class 1,800 Meter Run,7,Earl Grant,Jamaica College,2:02.38
2011,Boys,Class 1,800 Meter Run,8,Giovanni Foote,Munro College,1:56.88
2011,Boys,Class 1,800 Meter Run,9,Alex Saunders,Holmwood Technical High,1:57.72
2011,Boys,Class 1,800 Meter Run,10,Waquar Dacosta,Jamaica College,1:58.59
2011,Boys,Class 1,800 Meter Run,11,Rouaj Shirley,Campion College,1:59.61
2011,Boys,Class 1,800 Meter Run,12,Rayon Black,Ferncourt High,2:00.07
2011,Boys,Class 1,800 Meter Run,13,Ossian Popley,Spanish Town High,2:00.71
2011,Boys,Class 1,800 Meter Run,14,Andre Hare,Kingston College,2:02.53
2011,Boys,Class 1,800 Meter Run,15,Oryane Espuet,Manchester High,1:57.84
2011,Boys,Class 1,800 Meter Run,16,Michael Stone,May Day High,1:57.98
2011,Boys,Class 1,800 Meter Run,17,Martin Kennedy,Bellefield High,1:58.18
2011,Boys,Class 1,800 Meter Run,18,Rando Gunn,Calabar High School,1:58.59
2011,Boys,Class 1,800 Meter Run,19,Delano Lilly,Glenmuir High,1:58.59
2011,Boys,Class 1,800 Meter Run,20,Brandon Peart,Glenmuir High,1:59.02
2011,Boys,Class 1,800 Meter Run,21,Oshane Turner,Petersfield High,1:59.65
2011,Boys,Class 1,800 Meter Run,22,Damian Wiggan,Titchfield High School,2:00.06
2011,Boys,Class 1,800 Meter Run,23,Jason Fletcher,Claude McKay High,2:00.16
2011,Boys,Class 1,800 Meter Run,24,Marcel Williamson,Porus High School,2:00.97
2011,Boys,Class 1,800 Meter Run,25,Kemar Gordon,St. Jago High,2:01.08
2011,Boys,Class 1,800 Meter Run,26,Chevaughn Mcdonald,Bridgeport High,2:01.09
2011,Boys,Class 1,800 Meter Run,27,Ricardo Anon,Calabar High School,2:01.31
2011,Boys,Class 1,800 Meter Run,28,Orane Smith,Old Harbour High,2:01.47
2011,Boys,Class 1,800 Meter Run,29,Dwayne Huntley,Mona High,2:01.77
2011,Boys,Class 1,800 Meter Run,30,Jahnoy Bond,Manchester High,2:01.79
2011,Boys,Class 1,800 Meter Run,31,Andre Whittaker,Haile Selassie High,2:02.52
2011,Boys,Class 1,800 Meter Run,32,Devado Buckham,Donald Quarrie High,2:02.72
2011,Boys,Class 1,800 Meter Run,33,Rohan Simms,Titchfield High School,2:02.88
2011,Boys,Class 1,800 Meter Run,34,Ronaldo Williams,Charlemont High,2:03.27
2011,Boys,Class 1,800 Meter Run,35,Robert Adamson,Tacius Golding High,2:03.31
2011,Boys,Class 1,800 Meter Run,36,Kimanie Gordon,Hydel Group of Schools,2:03.67
2011,Boys,Class 1,800 Meter Run,37,Ruel Higgins,Munro College,2:03.87
2011,Boys,Class 1,800 Meter Run,38,Sheneal Coward,Guys Hill High,2:04.28
2011,Boys,Class 1,800 Meter Run,39,Damoy Matthews,Christiana High,2:04.54
2011,Boys,Class 1,800 Meter Run,40,Showaine Gauze,Lennon High,2:04.72
2011,Boys,Class 1,800 Meter Run,41,Claudius Wray,Buff Bay High,2:06.55
2011,Boys,Class 1,800 Meter Run,42,Donnie Mcbean,Cumberland High School,2:06.70
2011,Boys,Class 1,800 Meter Run,43,Andrew Salmon,St. Andrew College,2:06.78
2011,Boys,Class 1,800 Meter Run,44,Kevoy Clarke,Rusea's High,2:07.41
2011,Boys,Class 1,800 Meter Run,45,Michael Lambert,Porus High School,2:07.98
2011,Boys,Class 1,800 Meter Run,46,Sadeakie Morgan,Bog Walk High,2:08.85
2011,Boys,Class 1,800 Meter Run,47,Jovane Williams,Manning's High,2:08.91
2011,Boys,Class 1,800 Meter Run,48,Alwayne Jones,Tacius Golding High,2:11.87
2011,Boys,Class 1,800 Meter Run,49,Shanado Clarke,Winston Jones High,2:13.04
2011,Boys,Class 1,800 Meter Run,50,Llewellyn Woodburn,Bellefield High,2:14.52
2011,Boys,Class 1,800 Meter Run,51,Delroy Watson,Kellits High,2:16.62
2011,Boys,Class 1,800 Meter Run,52,Rohan Brown,Papine High,2:17.46
2011,Boys,Class 1,800 Meter Run,53,Kenne Clarke,Petersfield High,2:21.53
2011,Girls,Class 4,200 Meter Dash,1,Rushelle Burton,St. Andrew High for Girls,25.58Q
2011,Girls,Class 4,200 Meter Dash,2,Kishauna Smith,Herbert Morrison,25.71Q
2011,Girls,Class 4,200 Meter Dash,3,Sidney Marshall,Manchester High,26.01Q
2011,Girls,Class 4,200 Meter Dash,4,Jody-Ann Petrie,Excelsior High,26.11Q
2011,Girls,Class 4,200 Meter Dash,5,Shanice Brown,Edwin Allen High,26.14Q
2011,Girls,Class 4,200 Meter Dash,6,Shellece Clark,Edwin Allen High,26.18Q
2011,Girls,Class 4,200 Meter Dash,7,Satanya Wright,St. Elizabeth Technical High,26.36Q
2011,Girls,Class 4,200 Meter Dash,8,Safiya Thompson,St. Jago High,26.48Q
2011,Girls,Class 4,200 Meter Dash,9,Okalia Buchanan,Wolmer's,25.73Q
2011,Girls,Class 4,200 Meter Dash,10,Ayeshia Morgan,Hydel Group of Schools,26.34Q
2011,Girls,Class 4,200 Meter Dash,11,Debra Foster,Irwin High,26.39Q
2011,Girls,Class 4,200 Meter Dash,12,Reckasha Brooks,Holmwood Technical High,26.42Q
2011,Girls,Class 4,200 Meter Dash,13,Junelle Bromfield,St. Elizabeth Technical High,26.62Q
2011,Girls,Class 4,200 Meter Dash,14,Taqece Duggan,Hydel Group of Schools,26.73Q
2011,Girls,Class 4,200 Meter Dash,15,Kaydean Vassel,St. Andrew High for Girls,27.03Q
2011,Girls,Class 4,200 Meter Dash,16,Randese Ennis,Camperdown High,27.20Q
2011,Girls,Class 4,200 Meter Dash,17,Renee Shaw,Excelsior High,26.65q
2011,Girls,Class 4,200 Meter Dash,18,Natalie Walters,Holmwood Technical High,26.67q
2011,Girls,Class 4,200 Meter Dash,19,Tissann Hickling,St. Jago High,26.89q
2011,Girls,Class 4,200 Meter Dash,20,Danielle Thompson,Manchester High,27.09q
2011,Girls,Class 4,200 Meter Dash,21,Christina Reece,Herbert Morrison,27.15q
2011,Girls,Class 4,200 Meter Dash,22,Dominique Higgins,St. Hugh's High,27.23q
2011,Girls,Class 4,200 Meter Dash,23,Camay Passley,Titchfield High School,27.28q
2011,Girls,Class 4,200 Meter Dash,24,Janeek Brown,Wolmer's,27.38q
2011,Girls,Class 4,200 Meter Dash,25,Masseney Willis,St. Thomas Technical,27.49
2011,Girls,Class 4,200 Meter Dash,26,Rhain Chong,Alpha Academy,27.66
2011,Girls,Class 4,200 Meter Dash,27,Tasha Bailey,Tacius Golding High,27.87
2011,Girls,Class 4,200 Meter Dash,28,Britania Vassell,Winston Jones High,27.95
2011,Girls,Class 4,200 Meter Dash,29,Tashauna Griffiths,Jonathan Grant High,28.01
2011,Girls,Class 4,200 Meter Dash,30,Shantae Lawes,Holy Childhood High,28.02
2011,Girls,Class 4,200 Meter Dash,31,Tamara Clarke,Central High,28.11
2011,Girls,Class 4,200 Meter Dash,32,Lydia Brown,Holy Childhood High,28.11
2011,Girls,Class 4,200 Meter Dash,33,Marlene Powell,May Day High,28.12
