Age,AgeGroup,Class,Event,EventNumber,Finals,Gender,Heat,MeetDate,MeetName,Name,Rank,Team,TeamType,Wind,OrigTeamName
,13 & Under,,400 Meter Run,Event 1,58.75B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Tryone Barclay,39,St. George's College,,,St. George college
,13 & Under,,400 Meter Run,Event 1,58.80,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Shieed White,40,Jamaica College,,,Jamaica College
,13 & Under,,400 Meter Run,Event 1,58.84,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Dorian Watkis,41,Greater Portmore,,,Greater Port
,13 & Under,,400 Meter Run,Event 1,59.06,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Craig Johnson,42,Camperdown High,,,Camperdown H
,13 & Under,,400 Meter Run,Event 1,59.19,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Dicikei Richards,43,Meadowbrook High,,,Meadowbrook
,13 & Under,,400 Meter Run,Event 1,59.47,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jonte Grant,44,Bridgeport High,,,Bridgeport H
,13 & Under,,400 Meter Run,Event 1,59.50,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Tajeh Baker,45,Excelsior High,,,XLCR
,13 & Under,,400 Meter Run,Event 1,59.58,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Duane Harvey,46,St. George's College,,,St. George college
,13 & Under,,400 Meter Run,Event 1,59.82,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Marlon. Mcfarlane,47,Donald Quarrie High,,,Donald Quarr
,13 & Under,,400 Meter Run,Event 1,59.82,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Christobal Wright,47,Campion College,,,Campion College
,13 & Under,,400 Meter Run,Event 1,1:00.03,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Akeem Taylor,49,Bog Walk High,,,Bog Walk Hig
,13 & Under,,400 Meter Run,Event 1,1:00.07,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jhovan Martin,50,Wolmer's,,,Wolmer's Boys' A
,13 & Under,,400 Meter Run,Event 1,1:00.28,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Kevon Haughton,51,Jamaica College,,,Jamaica College
,13 & Under,,400 Meter Run,Event 1,1:00.54,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Leon Chung,52,Mona High,,,Mona High School
,13 & Under,,400 Meter Run,Event 1,1:00.79,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Demique Boreland,53,Knox College,,,Knox College
,13 & Under,,400 Meter Run,Event 1,1:00.95,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jaymore Lewin,54,Bridgeport High,,,Bridgeport H
,13 & Under,,400 Meter Run,Event 1,1:01.10,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Brandon Davis,55,Kingston High School,,,Kingston High
,13 & Under,,400 Meter Run,Event 1,1:01.12,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Justin Chisholm,56,Jamaica College,,,Jamaica College
,13 & Under,,400 Meter Run,Event 1,1:01.49,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Xavior Anderson,57,Jamaica College,,,Jamaica College
,13 & Under,,400 Meter Run,Event 1,1:01.54,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Giovanni Samuels,58,Mona High,,,Mona High School
,13 & Under,,400 Meter Run,Event 1,1:01.82,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Kimani Nugent,59,Campion College,,,Campion College
,13 & Under,,400 Meter Run,Event 1,1:01.94,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Sadiki Richards,60,Meadowbrook High,,,Meadowbrook
,13 & Under,,400 Meter Run,Event 1,1:02.00,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jamorie Jones,61,Excelsior High,,,XLCR
,13 & Under,,400 Meter Run,Event 1,1:02.23,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Omar Locke,62,Mannings School,,,Mannings School
,13 & Under,,400 Meter Run,Event 1,1:02.34,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Paul Dwyer,63,Munro College,,,Munro College
,13 & Under,,400 Meter Run,Event 1,1:02.54,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Odaine Salmon,64,Bridgeport High,,,Bridgeport H
,13 & Under,,400 Meter Run,Event 1,1:02.57,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Prince Williams,65,Vauxhall High,,,Vauxhall Hig
,13 & Under,,400 Meter Run,Event 1,1:03.46,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,David Cameron,66,Donald Quarrie High,,,Donald Quarr
,13 & Under,,400 Meter Run,Event 1,1:03.49,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Kordell Edmondson,67,St. George's College,,,St. George college
,13 & Under,,400 Meter Run,Event 1,1:03.55,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Khalil Dillon,68,Wolmer's,,,Wolmer's Boys' A
,13 & Under,,400 Meter Run,Event 1,1:03.85,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Dominic Lalor,69,Campion College,,,Campion College
,13 & Under,,400 Meter Run,Event 1,1:03.85,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Khandale Campbell,69,Mona High,,,Mona High School
,13 & Under,,400 Meter Run,Event 1,1:04.15,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jaden Williams,71,Oberlin High,,,Oberlin High
,13 & Under,,400 Meter Run,Event 1,1:04.57,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Calvin Bogle,72,St. Thomas Technical,,,St. Thomas T
,13 & Under,,400 Meter Run,Event 1,1:05.10,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Daniel Edwards,73,Donald Quarrie High,,,Donald Quarr
,13 & Under,,400 Meter Run,Event 1,1:05.10,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Tyrece Beckford,73,Mannings School,,,Mannings School
,13 & Under,,400 Meter Run,Event 1,1:06.16,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Devaughnte Montague,75,St. Mary's College,,,St. Marys College
,13 & Under,,400 Meter Run,Event 1,1:07.38,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Shaquille Service,76,Oberlin High,,,Oberlin High
,13 & Under,,400 Meter Run,Event 1,1:07.52,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Teno Spence,77,Donald Quarrie High,,,Donald Quarr
,13 & Under,,400 Meter Run,Event 1,1:08.01,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Kaheel Clarke,78,Oberlin High,,,Oberlin High
,13 & Under,,400 Meter Run,Event 1,DNF,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Brandon Hamilton,--,Camperdown High,,,Camperdown H
,14-15,,400 Meter Run,Event 2,50.25A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Shemar Davis,1,St. Jago High,,,St. Jago Hig
,14-15,,400 Meter Run,Event 2,50.77A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jamonie Allison,2,Excelsior High,,,XLCR
,14-15,,400 Meter Run,Event 2,50.87A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Nicquaine Henry,3,Calabar High School,,,Calabar High
,14-15,,400 Meter Run,Event 2,50.94A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Andre Leslie,4,Calabar High School,,,Calabar High
,14-15,,400 Meter Run,Event 2,50.95A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jordan Forrest,5,Kingston College,,,Kingston College
,14-15,,400 Meter Run,Event 2,50.95A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Blaine Buckle,5,York Castle High,,,York Castle
,14-15,,400 Meter Run,Event 2,51.07A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Xavier Nairne,7,Wolmer's,,,Wolmer's Boys' A
,14-15,,400 Meter Run,Event 2,51.19A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jeremy Farr,8,Wolmer's,,,Wolmer's Boys' A
,14-15,,400 Meter Run,Event 2,51.20A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Bovel Mcpherson,9,Holmwood Technical High,,,Holmwood Tec
,14-15,,400 Meter Run,Event 2,51.23A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Devontie Archer,10,Excelsior High,,,XLCR
,14-15,,400 Meter Run,Event 2,51.28A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Rosean Bernard,11,Munro College,,,Munro College
,14-15,,400 Meter Run,Event 2,51.37A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Rasheim Williams,12,Wolmer's,,,Wolmer's Boys' A
,14-15,,400 Meter Run,Event 2,51.42A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Tyrice Taylor,13,Bog Walk High,,,Bog Walk Hig
,14-15,,400 Meter Run,Event 2,51.50A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Kewani Campbell,14,Vauxhall High,,,Vauxhall Hig
,14-15,,400 Meter Run,Event 2,51.56A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Bradley Spencer,15,Wolmer's,,,Wolmer's Boys' A
,14-15,,400 Meter Run,Event 2,51.57A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Kwani Edwards,16,Calabar High School,,,Calabar High
,14-15,,400 Meter Run,Event 2,51.59A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Shevaughn Patterson,17,York Castle High,,,York Castle
,14-15,,400 Meter Run,Event 2,51.68A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Daniel Rhone,18,Wolmer's,,,Wolmer's Boys' A
,14-15,,400 Meter Run,Event 2,51.81A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jobey Smith,19,Camperdown High,,,Camperdown H
,14-15,,400 Meter Run,Event 2,51.87A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Harlando Fuller,20,Spanish Town High,,,Spanish town high
,14-15,,400 Meter Run,Event 2,51.89A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Thiea Shea,21,Wolmer's,,,Wolmer's Boys' A
,14-15,,400 Meter Run,Event 2,52.26A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Javier Brown,22,Jamaica College,,,Jamaica College
,14-15,,400 Meter Run,Event 2,52.28A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Julian Mcrea,23,Kingston College,,,Kingston College
,14-15,,400 Meter Run,Event 2,52.34A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Ronaldo Mighty,24,St. Jago High,,,St. Jago Hig
,14-15,,400 Meter Run,Event 2,52.36A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Dean Clarke,25,Calabar High School,,,Calabar High
,14-15,,400 Meter Run,Event 2,52.48A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jermaine Adamson,26,Excelsior High,,,XLCR
,14-15,,400 Meter Run,Event 2,52.54A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Kalonji Grant,27,St. George's College,,,St. George college
,14-15,,400 Meter Run,Event 2,52.60A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Desmond Russell,28,Garvey Maceo High,,,Garvey Maceo
,14-15,,400 Meter Run,Event 2,52.70A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Daniel Leslie,29,Camperdown High,,,Camperdown H
,14-15,,400 Meter Run,Event 2,52.76A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Qwayne Davis,30,Spaldings High,,,Spalding Hig
,14-15,,400 Meter Run,Event 2,52.84A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Tivoughn Morgan,31,Bog Walk High,,,Bog Walk Hig
,14-15,,400 Meter Run,Event 2,52.90A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Lenard Hall,32,St. Mary High,,,St. Mary High
,14-15,,400 Meter Run,Event 2,52.90A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Rushaun Rowe,32,Kingston College,,,Kingston College
,14-15,,400 Meter Run,Event 2,52.91A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jamar Fries,34,Holmwood Technical High,,,Holmwood Tec
,14-15,,400 Meter Run,Event 2,53.04A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Shane Brown,35,Wolmer's,,,Wolmer's Boys' A
,14-15,,400 Meter Run,Event 2,53.10A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Romario Northover,36,Calabar High School,,,Calabar High
,14-15,,400 Meter Run,Event 2,53.10A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Shaval Brown,36,Excelsior High,,,XLCR
,14-15,,400 Meter Run,Event 2,53.31A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Tajay Bromfield,38,Jamaica College,,,Jamaica College
,14-15,,400 Meter Run,Event 2,53.31A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Omari Geddes,38,St. Mary High,,,St. Mary High
,14-15,,400 Meter Run,Event 2,53.40A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Rudon Bowen,40,Kingston College,,,Kingston College
,14-15,,400 Meter Run,Event 2,53.44A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Sajar Blair,41,Kingston College,,,Kingston College
,14-15,,400 Meter Run,Event 2,53.44A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Clayon Cooper,41,St. Mary High,,,St. Mary High
,14-15,,400 Meter Run,Event 2,53.47A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,David Edmondson,43,Wolmer's,,,Wolmer's Boys' A
,14-15,,400 Meter Run,Event 2,53.51A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jerome Wray,44,Meadowbrook High,,,Meadowbrook
,14-15,,400 Meter Run,Event 2,53.54A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jomario Hibbert,45,St. George's College,,,St. George college
,14-15,,400 Meter Run,Event 2,53.60A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Kristopher Mcdonald,46,Jamaica College,,,Jamaica College
,14-15,,400 Meter Run,Event 2,53.60A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Adam Whitelocke,46,Calabar High School,,,Calabar High
,14-15,,400 Meter Run,Event 2,53.62A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Lamar Eccleston,48,Meadowbrook High,,,Meadowbrook
,14-15,,400 Meter Run,Event 2,53.64A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Shevan Myles,49,Donald Quarrie High,,,Donald Quarr
,14-15,,400 Meter Run,Event 2,53.66A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Kenardo Jones,50,Camperdown High,,,Camperdown H
,14-15,,400 Meter Run,Event 2,53.75A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Akari Young,51,Wolmer's,,,Wolmer's Boys' A
,14-15,,400 Meter Run,Event 2,53.78A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Stephen Mcbean,52,Pembroke Hall Primary,,,Pembroke Hal
,14-15,,400 Meter Run,Event 2,53.89A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Shavioe Reid,53,Calabar High School,,,Calabar High
,14-15,,400 Meter Run,Event 2,53.89A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Alrick Beckford,53,Annotto Bay High,,,Annotto Bay
,14-15,,400 Meter Run,Event 2,53.95A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Mario Shim-Hue,55,Vauxhall High,,,Vauxhall Hig
,14-15,,400 Meter Run,Event 2,53.95A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Nicoloy Pennington,55,Mona High,,,Mona High School
,14-15,,400 Meter Run,Event 2,53.95A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Ricardo Campbell,55,Knox College,,,Knox College
,14-15,,400 Meter Run,Event 2,54.06A,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Maliek Ricketts,58,Jamaica College,,,Jamaica College
,14-15,,400 Meter Run,Event 2,54.26B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Roja Lawerence,59,Jamaica College,,,Jamaica College
,14-15,,400 Meter Run,Event 2,54.27B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Ronaldo Green,60,Holmwood Technical High,,,Holmwood Tec
,14-15,,400 Meter Run,Event 2,54.28B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Delano Wood,61,Old Harbour High,,,Old Harbour High
,14-15,,400 Meter Run,Event 2,54.28B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Tahjay Adams,61,Wolmer's,,,Wolmer's Boys' A
,14-15,,400 Meter Run,Event 2,54.39B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Kirk Frater,63,Wolmer's,,,Wolmer's Boys' A
,14-15,,400 Meter Run,Event 2,54.52B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jardane Mckenzie,64,Vauxhall High,,,Vauxhall Hig
,14-15,,400 Meter Run,Event 2,54.75B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Kimarlie Stewart,65,Wolmer's,,,Wolmer's Boys' A
,14-15,,400 Meter Run,Event 2,54.75B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Justin Mitchell,65,Jamaica College,,,Jamaica College
,14-15,,400 Meter Run,Event 2,54.76B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Kyle Sanderson,67,Wolmer's,,,Wolmer's Boys' A
,14-15,,400 Meter Run,Event 2,54.79B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Eyon Greene,68,Mona High,,,Mona High School
,14-15,,400 Meter Run,Event 2,54.90B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Oshane Peart,69,Kingston College,,,Kingston College
,14-15,,400 Meter Run,Event 2,54.90B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Oneil Treasure,69,Holy Trinity High,,,Holy Trinity
,14-15,,400 Meter Run,Event 2,54.94B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Tajae Atkinson,71,Bridgeport High,,,Bridgeport H
,14-15,,400 Meter Run,Event 2,55.00B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Raheim Simpson,72,Waterford High School,,,Waterford
,14-15,,400 Meter Run,Event 2,55.06B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Rayeem Vassell,73,Bridgeport High,,,Bridgeport H
,14-15,,400 Meter Run,Event 2,55.20B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Ramone Gay,74,Mona High,,,Mona High School
,14-15,,400 Meter Run,Event 2,55.23B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Kimalie Hylton,75,Bridgeport High,,,Bridgeport H
,14-15,,400 Meter Run,Event 2,55.25B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Nicardo Minott,76,Bog Walk High,,,Bog Walk Hig
,14-15,,400 Meter Run,Event 2,55.36B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Stuart Reid,77,Oberlin High,,,Oberlin High
,14-15,,400 Meter Run,Event 2,55.36B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Jemar Johnson,77,Ocho Rios High,,,Ocho Rios High
,14-15,,400 Meter Run,Event 2,55.40B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Devoy Campbell,79,Waterford High School,,,Waterford
,14-15,,400 Meter Run,Event 2,55.44B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Keanu Thomas,80,Greater Portmore,,,Greater Port
,14-15,,400 Meter Run,Event 2,55.50B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Vaswanie Silvera,81,Greater Portmore,,,Greater Port
,14-15,,400 Meter Run,Event 2,55.53B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Adril Robinson,82,Meadowbrook High,,,Meadowbrook
,14-15,,400 Meter Run,Event 2,55.55B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Shemar Moore,83,Wolmer's,,,Wolmer's Boys' A
,14-15,,400 Meter Run,Event 2,55.62B,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Micheal Williams,84,Bog Walk High,,,Bog Walk Hig
,14-15,,400 Meter Run,Event 2,55.82,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Kimani Malcolm,85,Pembroke Hall Primary,,,Pembroke Hal
,14-15,,400 Meter Run,Event 2,55.86,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Oneil Williams,86,Mona High,,,Mona High School
,14-15,,400 Meter Run,Event 2,55.92,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Justin Bailey,87,St. Mary Technical,,,St. Mary Tec
,14-15,,400 Meter Run,Event 2,55.97,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Shakiel Blair,88,Old Harbour High,,,Old Harbour High
,14-15,,400 Meter Run,Event 2,56.07,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Leondre Lodge,89,Mona High,,,Mona High School
,14-15,,400 Meter Run,Event 2,56.09,Boys,None,2017-01-28,Queens Grace Jackson Track Meet,Odane Cardoza,90,St. Thomas Technical,,,St. Thomas T
